,Feature Name
Feature n°1,ADGRG3
Feature n°2,ARG2
Feature n°3,ARL2BP
Feature n°4,BCL2L2-PABPN1
Feature n°5,CCZ1
Feature n°6,CHRNB2
Feature n°7,CNTD1
Feature n°8,COX20
Feature n°9,CSF3R
Feature n°10,EGLN2
Feature n°11,FAM118B
Feature n°12,FEM1A
Feature n°13,GTF2IP1
Feature n°14,HSPA14
Feature n°15,IAH1
Feature n°16,LINC02067
Feature n°17,MIA2
Feature n°18,MIR6852
Feature n°19,MTRF1L
Feature n°20,NADSYN1
Feature n°21,NOMO2
Feature n°22,PCBP2-OT1
Feature n°23,PLPPR3
Feature n°24,PSTPIP1
Feature n°25,RBM34
Feature n°26,SLX1B
Feature n°27,SMG1P2
Feature n°28,SNX32
Feature n°29,STAG3L1
Feature n°30,ZNF593
