,Feature Name
Feature n°1,ADD1
Feature n°2,AKAP17A
Feature n°3,AP2A2
Feature n°4,CTDNEP1
Feature n°5,CTDSP1
Feature n°6,DIAPH1
Feature n°7,DNAJC4
Feature n°8,FBRS
Feature n°9,FBRSL1
Feature n°10,GIMAP5
Feature n°11,GIMAP7
Feature n°12,LRCH4
Feature n°13,PLA2G4B
Feature n°14,PNPLA2
Feature n°15,PNPLA6
Feature n°16,PRKCSH
Feature n°17,PRR12
Feature n°18,RFNG
Feature n°19,SAMD1
Feature n°20,SAP25
Feature n°21,SIGIRR
Feature n°22,TBC1D10B
Feature n°23,TNFSF12
Feature n°24,WBP2
Feature n°25,WDTC1
Feature n°26,ZNF787
