,Fold selected features,Fold nb of features
Fold 0,"['BCL2L2-PABPN1', 'CRTC1', 'ELK1', 'GPR19', 'HDAC10', 'MIR3940', 'MLLT6', 'PATZ1', 'PCBP1', 'PPP1R9B', 'RASA4', 'RASA4CP', 'RASA4DP', 'SYNGAP1', 'TSNARE1', 'WASH7P', 'ZRANB1', 'ZSWIM8-AS1']",18
Fold 1,"['ACVR2A', 'AGAP2-AS1', 'AGAP5', 'ATXN2L', 'BCL2L2-PABPN1', 'BRD1', 'CAPZA1', 'DPP4', 'EXOSC4', 'GPR19', 'MCUB', 'MIR3940', 'MIR6852', 'MIR8085', 'MLLT6', 'NBPF9', 'PCBP1', 'PPP1R9B', 'RASA4', 'RASA4DP', 'SAMD1', 'TAF4', 'WASH7P', 'ZSWIM8-AS1']",24
Fold 2,"['ACTR1B', 'BAHD1', 'CCDC85C', 'CDIP1', 'DAZAP1', 'EP400', 'GPR19', 'MIR3940', 'MIR6852', 'MIR6859-3', 'PPP1R9B', 'PRR12', 'RASA4', 'RASA4DP', 'TAF4', 'TSPOAP1-AS1', 'WASH7P', 'ZSWIM8-AS1']",18
Fold 3,"['AHDC1', 'ANO8', 'ARHGDIA', 'BAHD1', 'CDIP1', 'CDK11A', 'CRTC1', 'DAZAP1', 'ELK3', 'FBRSL1', 'IFI27', 'MLLT6', 'NBPF9', 'NDFIP1', 'PCBP1', 'PCBP2-OT1', 'PI4KAP2', 'RASA4', 'RASA4CP', 'RASA4DP', 'SAMD1', 'TAF4', 'TBC1D10A', 'TSPOAP1-AS1', 'VPS51', 'ZFP36L2', 'ZNF384', 'ZRANB1']",28
Fold 4,"['AGAP2-AS1', 'ANO8', 'BAHD1', 'CNNM2', 'FNBP1', 'LMNTD2', 'MIR3940', 'MLLT6', 'NBPF19', 'PATZ1', 'PCBP1', 'PPP1R9B', 'RASA4', 'RASA4CP', 'RASA4DP', 'TAF4', 'TSNARE1', 'WASH7P', 'ZRANB1', 'ZSWIM8-AS1']",20
Fold 5,"['ACTR1B', 'BAHD1', 'BCL2L2-PABPN1', 'BCL9L', 'ELK1', 'FTH1P3', 'GPR19', 'HDAC10', 'IFI27', 'KLF13', 'LLGL1', 'MAPKAPK5-AS1', 'MIR3940', 'NBPF9', 'NPIPA5', 'PCBP1', 'PI4KAP2', 'PMS2', 'PPP1R9B', 'RASA4DP', 'SAMD1', 'SYNGAP1', 'TPI1P3', 'WASH7P']",24
Fold 6,"['ANO8', 'ARID1A', 'BAHD1', 'BCR', 'FNBP1', 'LLGL1', 'LMNTD2', 'MLLT6', 'NBPF9', 'NCOR2', 'PATZ1', 'PCBP1', 'POM121', 'RASA4CP', 'SNRK-AS1', 'TAF4', 'TBC1D10A', 'TSNARE1', 'ZC3H7B']",19
Fold 7,"['AGAP2-AS1', 'AHDC1', 'ANO8', 'ARHGDIA', 'BAHD1', 'CDIP1', 'CDK11A', 'CRTC1', 'DAZAP1', 'ELK3', 'EP400', 'FBRSL1', 'IFI27', 'MLLT6', 'NBPF9', 'NDFIP1', 'PCBP1', 'PCBP2-OT1', 'PI4KAP2', 'RASA4', 'RASA4CP', 'RASA4DP', 'SAMD1', 'TAF4', 'TBC1D10A', 'TSPOAP1-AS1', 'VPS51', 'ZFP36L2', 'ZNF384', 'ZRANB1']",30
Fold 8,"['AHDC1', 'ANO8', 'ARHGDIA', 'BAHD1', 'CDK11A', 'CRTC1', 'DAZAP1', 'ELK3', 'EP400', 'FBRSL1', 'IFI27', 'MLLT6', 'NBPF9', 'NDFIP1', 'PCBP1', 'PCBP2-OT1', 'PI4KAP2', 'RASA4', 'RASA4CP', 'RASA4DP', 'SAMD1', 'TAF4', 'TBC1D10A', 'TSPOAP1-AS1', 'VPS51', 'ZFP36L2', 'ZNF384', 'ZRANB1']",28
Fold 9,"['ACTR1B', 'AGAP2-AS1', 'ANO8', 'BAHD1', 'ELK1', 'ELK3', 'HDAC10', 'MAN1C1', 'MAPKAPK5-AS1', 'MIR6859-1', 'NBPF9', 'PCBP1', 'PI4KAP2', 'PPP1R9B', 'PRR12', 'RASA4', 'RASA4CP', 'SYNGAP1', 'TAF4', 'WASH7P', 'ZC3H7B', 'ZNF395', 'ZSWIM8-AS1']",23
Fold 10,"['ABCC1', 'ARF6', 'ATXN1L', 'BEX4', 'CAPZA1', 'ELK1', 'FNBP1', 'HNRNPUL1', 'KLF13', 'MDFIC', 'NDFIP1', 'PCBP1', 'PCBP2-OT1', 'RASA4', 'RPL21', 'TAF4', 'TRAM1', 'WWP1', 'ZSWIM8-AS1']",19
Fold 11,"['AHDC1', 'ANO8', 'ARHGDIA', 'BAHD1', 'CDK11A', 'CRTC1', 'DAZAP1', 'ELK3', 'EP400', 'FBRSL1', 'IFI27', 'MLLT6', 'NBPF9', 'NDFIP1', 'PCBP1', 'PCBP2-OT1', 'PI4KAP2', 'RASA4', 'RASA4CP', 'RASA4DP', 'SAMD1', 'TAF4', 'TBC1D10A', 'TSPOAP1-AS1', 'VPS51', 'ZFP36L2', 'ZNF384', 'ZRANB1']",28
