,Fold selected features,Fold nb of features
Fold 0,"['ADD1', 'AKAP17A', 'AP2A2', 'CTDNEP1', 'CTDSP1', 'DIAPH1', 'DNAJC4', 'FBRS', 'FBRSL1', 'GIMAP5', 'GIMAP7', 'LRCH4', 'PLA2G4B', 'PNPLA2', 'PNPLA6', 'PRKCSH', 'PRR12', 'RFNG', 'SAMD1', 'SAP25', 'SIGIRR', 'TBC1D10B', 'TNFSF12', 'WBP2', 'WDTC1', 'ZNF787']",26
Fold 1,"['ADD1', 'ANO8', 'ARHGEF1', 'ARID5A', 'ARRB2', 'AXIN1', 'BAG6', 'BRCA1', 'CDKN1B', 'CSK', 'CTDNEP1', 'DCAF15', 'DGKA', 'FBRS', 'FBRSL1', 'FNBP1', 'MARK4', 'MECP2', 'MINK1', 'MKNK2', 'MLLT6', 'MLXIP', 'PGGHG', 'PNPLA2', 'PRKCH', 'PRKCSH', 'RANBP3', 'RFNG', 'RNPEPL1', 'SAMD1', 'SIGIRR', 'SLC8B1', 'SYNGAP1', 'ZSWIM8']",34
Fold 2,"['ABHD17A', 'AKAP17A', 'ARAF', 'ARHGEF1', 'BAG6', 'BCR', 'BRCA1', 'C8orf58', 'CISH', 'CSK', 'FBRS', 'HSF1', 'IRF2BP1', 'OTOF', 'PKN1', 'PNPLA2', 'PNPLA6', 'PRKCSH', 'RFNG', 'SAMD1', 'SAP25', 'TBC1D10A', 'TNFSF12', 'UBXN6', 'WDTC1', 'XAB2']",26
Fold 3,"['ANO8', 'ARID5A', 'BRCA1', 'CRTC1', 'CTDNEP1', 'FBRS', 'FBRSL1', 'MINK1', 'PKN1', 'PRKCH', 'PRKCSH', 'SAMD1', 'SAP25', 'SYNGAP1', 'TNFSF12', 'ZNF777']",16
Fold 4,"['ARID5A', 'ATXN7L3', 'AXIN1', 'BCR', 'BRCA1', 'CTDNEP1', 'CTDSP1', 'DNM2', 'FBRS', 'FBRSL1', 'GATAD2A', 'OCEL1', 'PLA2G4B', 'PNPLA2', 'PNPLA6', 'PRKCSH', 'SIGIRR', 'SYNGAP1', 'TBC1D10A', 'TNFSF12', 'WDTC1']",21
Fold 5,"['ANO8', 'ARRB2', 'ARRDC1', 'AXIN1', 'BAG6', 'CDKN1B', 'CISH', 'CTDNEP1', 'DCAF15', 'DNAJC4', 'DNM2', 'FBRS', 'GIMAP7', 'LPCAT4', 'MKNK2', 'PGGHG', 'PITPNM1', 'PKN1', 'PLA2G4B', 'PNPLA6', 'PRKCSH', 'RANBP3', 'SAMD1', 'TBC1D10A', 'TNFSF12']",25
Fold 6,"['ABHD17A', 'AKAP17A', 'ARID5A', 'ARRB2', 'ATXN7L3', 'BAG6', 'CDKN1B', 'CRTC1', 'CTDNEP1', 'FNBP1', 'MKNK2', 'PKN1', 'PNPLA2', 'PNPLA6', 'SAMD1', 'SAP25', 'SYNGAP1', 'UBALD1', 'UBXN6', 'ZNF787', 'ZSWIM8']",21
Fold 7,"['ABHD17A', 'AKAP17A', 'ARHGEF1', 'ATXN7L3', 'AXIN1', 'CTDNEP1', 'LRCH4', 'PRKCSH', 'RFNG', 'RNPEPL1', 'SAMD1', 'SAP25', 'TNFSF12']",13
Fold 8,"['ABHD17A', 'ADD1', 'ARHGEF1', 'ARID5A', 'ATXN7L3', 'BTBD2', 'CRTC1', 'CSK', 'CTDNEP1', 'CTDSP1', 'CTLA4', 'DCAF15', 'DIAPH1', 'FBRSL1', 'GNB2', 'HSF1', 'IRF2BP1', 'KAT8', 'LRCH4', 'MEF2C', 'PLA2G4B', 'PNPLA6', 'PRKCSH', 'SAMD1', 'SAP25', 'TBC1D10A', 'ZSWIM8']",27
Fold 9,"['ABHD17A', 'ANO8', 'ARAF', 'ATXN7L3', 'AXIN1', 'CBX4', 'CNPPD1', 'CTDNEP1', 'CTDSP1', 'DCAF15', 'FBRS', 'FBRSL1', 'FNBP1', 'GNB2', 'IRF2BP1', 'LRCH4', 'MED15', 'MINK1', 'NDRG1', 'PITPNM1', 'PKN1', 'PNPLA2', 'PNPLA6', 'RFNG', 'RNPEPL1', 'SAMD1', 'SBF1', 'SYNGAP1', 'TNFSF12', 'WDTC1', 'ZSWIM8']",31
Fold 10,"['AXIN1', 'BAG6', 'BRCA1', 'CAPN15', 'CSK', 'CTDNEP1', 'FBRS', 'FNBP1', 'MKNK2', 'MLLT6', 'PLA2G4B', 'PNPLA2', 'PNPLA6', 'PRKCSH', 'RANBP3', 'RNPEPL1', 'SBF1', 'SYNGAP1']",18
Fold 11,"['ABHD17A', 'AKAP17A', 'CTDNEP1', 'DCAF15', 'IRF2BP1', 'LRCH4', 'MKNK2', 'PNPLA2', 'RFNG', 'SBF1', 'SYNGAP1', 'TBC1D10A', 'TNFSF12', 'UBXN6']",14
Fold 12,"['ABHD17A', 'ADD1', 'ARAF', 'ARRB2', 'ATXN7L3', 'AXIN1', 'BAG6', 'BCR', 'BLZF1', 'BRCA1', 'CISH', 'CRTC1', 'CTDSP1', 'GATAD2A', 'GNB2', 'KLF13', 'MINK1', 'MLLT6', 'PITPNM1', 'PNPLA6', 'PRKCSH', 'RANBP3', 'RFNG', 'RNPEPL1', 'SYNGAP1', 'TBC1D10A', 'TNFSF12', 'UBALD1', 'WDTC1']",29
Fold 13,"['ABHD17A', 'ADD1', 'ARHGEF1', 'ARID5A', 'ATXN7L3', 'BTBD2', 'CRTC1', 'CSK', 'CTDNEP1', 'CTDSP1', 'CTLA4', 'DCAF15', 'DIAPH1', 'FBRSL1', 'GNB2', 'HSF1', 'IRF2BP1', 'KAT8', 'LRCH4', 'MEF2C', 'PLA2G4B', 'PNPLA6', 'PRKCSH', 'SAMD1', 'SAP25', 'TBC1D10A', 'ZSWIM8']",27
Fold 14,"['ADD1', 'ANO8', 'ARID5A', 'BRCA1', 'CRTC1', 'CSK', 'CTDNEP1', 'DCAF15', 'DIAPH1', 'FBRS', 'FBRSL1', 'GATAD2A', 'IRF2BP1', 'LRCH4', 'MAPK8IP3', 'MKNK2', 'PKN1', 'PNPLA2', 'PNPLA6', 'PRKCH', 'PRKCSH', 'PRR12', 'RANBP3', 'SAP25', 'SIGIRR', 'SYNGAP1', 'ZNF787', 'ZSWIM8']",28
Fold 15,"['ABHD17A', 'ARAF', 'ARRB2', 'ATXN7L3', 'AXIN1', 'BAG6', 'BCR', 'BLZF1', 'BRCA1', 'CRTC1', 'CTDNEP1', 'CTDSP1', 'FBRS', 'GATAD2A', 'GNB2', 'LRCH4', 'MAPK8IP3', 'MLLT6', 'PITPNM1', 'PLA2G4B', 'PNPLA6', 'PRKCSH', 'RANBP3', 'RFNG', 'RNPEPL1', 'SAMD1', 'SYNGAP1', 'TBC1D10A', 'TNFSF12', 'WDTC1', 'ZNF777', 'ZNF787', 'ZSWIM8']",33
Fold 16,"['ABHD17A', 'ARAF', 'ARRB2', 'ATXN7L3', 'AXIN1', 'BAG6', 'BCR', 'BRCA1', 'CRTC1', 'CTDNEP1', 'FBRS', 'FNBP1', 'IRF2BP1', 'KLF13', 'LRCH4', 'MKNK2', 'PITPNM1', 'PLA2G4B', 'PNPLA6', 'PRKCH', 'PRKCSH', 'RANBP3', 'RFNG', 'SYNGAP1', 'TBC1D10A', 'TNFSF12', 'UBALD1', 'WDTC1']",28
Fold 17,"['AKAP17A', 'AP2A2', 'ATXN7L3', 'CRTC1', 'CSK', 'CTDNEP1', 'FBRSL1', 'MKNK2', 'MTMR6', 'PKN1', 'PLSCR3', 'PNPLA2', 'PRR12', 'RANBP3', 'SAMD1', 'SAP25', 'SBNO2', 'UBALD1', 'WAS', 'ZNF865']",20
Fold 18,"['AGER', 'ANAPC2', 'ANO8', 'ARID5A', 'ATXN7L3', 'AXIN1', 'BAG6', 'BRCA1', 'CLASRP', 'CTDNEP1', 'DLST', 'ENGASE', 'FBRS', 'FNBP1', 'GATAD2A', 'HSF4', 'IRF2BP1', 'MAPK8IP3', 'MARK4', 'MLLT6', 'MLXIP', 'NDRG1', 'PLA2G4B', 'PNPLA2', 'PRKCH', 'TBC1D10A', 'TNFSF12', 'UBXN6', 'XAB2', 'ZNF335']",30
Fold 19,"['ABHD17A', 'AKAP17A', 'ARAF', 'CSK', 'CTDNEP1', 'DCAF15', 'DPP4', 'LRCH4', 'MIR632', 'PKN1', 'PRKCSH', 'RFNG', 'RMI1', 'SAMD1', 'SAP25', 'WAS', 'WBP2', 'ZNF787']",18
Fold 20,"['ATXN7L3', 'BAG6', 'BLZF1', 'BRCA1', 'CRTC1', 'LCORL', 'NEK2', 'PRKCSH', 'RFNG', 'SIGIRR', 'SYNGAP1', 'TBC1D10A']",12
Fold 21,"['ABHD17A', 'AGAP2', 'AGPAT1', 'ARRB2', 'ATXN7L3', 'AXIN1', 'BTBD2', 'CDKN1B', 'CTDNEP1', 'DCAF15', 'HPCAL1', 'LRCH4', 'MLLT6', 'PKN1', 'PNPLA6', 'PRR12', 'SAMD1', 'SAP25', 'SLC40A1', 'SYNGAP1', 'TBC1D10A', 'TNFSF12', 'WDTC1', 'YPEL3']",24
