,Fold selected features,Fold nb of features
Fold 0,"['ADGRG3', 'ARG2', 'ARL2BP', 'BCL2L2-PABPN1', 'CCZ1', 'CHRNB2', 'CNTD1', 'COX20', 'CSF3R', 'EGLN2', 'FAM118B', 'FEM1A', 'GTF2IP1', 'HSPA14', 'IAH1', 'LINC02067', 'MIA2', 'MIR6852', 'MTRF1L', 'NADSYN1', 'NOMO2', 'PCBP2-OT1', 'PLPPR3', 'PSTPIP1', 'RBM34', 'SLX1B', 'SMG1P2', 'SNX32', 'STAG3L1', 'ZNF593']",30
Fold 1,"['ALDOA', 'ARL2BP', 'BCL2L2-PABPN1', 'CCZ1', 'CHRNB2', 'EFCAB14-AS1', 'EIF3CL', 'EZR-AS1', 'FEM1A', 'HNRNPA1P10', 'LINC02067', 'LRRC75A', 'MIA2', 'MTRF1L', 'NOMO2', 'PGD', 'SBNO2', 'SLC11A1', 'SMG1P2', 'SMN2', 'SNX32', 'TSPOAP1-AS1']",22
Fold 2,"['ACTR1A', 'B3GNT4', 'BCL2L2-PABPN1', 'CHRNB2', 'COX20', 'EDEM2', 'EGLN2', 'EIF3CL', 'GTF2IP1', 'HMBOX1', 'MED4-AS1', 'MIA2', 'MIF-AS1', 'NOMO2', 'SLX1B', 'SMN2', 'STAG3L1', 'TMEM120A', 'TSPOAP1-AS1']",19
Fold 3,"['ADGRG3', 'ARG1', 'ATP1A1-AS1', 'CHRNB2', 'EGLN2', 'EIF3CL', 'HIF1A-AS1', 'IAH1', 'LINC02067', 'LRRC75A', 'MTRF1L', 'PGAM4', 'PGD', 'RAP1B', 'RBM34', 'SNORA31', 'SNX32', 'TSPOAP1-AS1']",18
Fold 4,"['ADGRG3', 'ARG2', 'ATP1A1-AS1', 'CHRNB2', 'CNTD1', 'COX20', 'CSNK2A3', 'EZR-AS1', 'FAM156B', 'GTF2IP1', 'IAH1', 'LINC02067', 'MED4-AS1', 'MIA2', 'PSTPIP1', 'RBM34', 'SLC16A3', 'SMG1P2', 'SNURF', 'SNX32', 'SPAG5-AS1', 'TSPOAP1-AS1', 'VNN1']",23
Fold 5,"['ARL2BP', 'ATP1A1-AS1', 'B3GNT4', 'BCL2L2-PABPN1', 'CHRNB2', 'CSF3R', 'EIF3CL', 'GTF2IP1', 'IAH1', 'NOMO3', 'RBM34', 'SLC16A3', 'SNX32', 'ZACN']",14
Fold 6,"['ACTR1A', 'ADGRG3', 'ARG1', 'ARG2', 'ARL2BP', 'BCL2L2-PABPN1', 'CNTD1', 'COX20', 'GTF2IP1', 'IAH1', 'LRRC75A', 'NADSYN1', 'NOMO3', 'PLPPR3', 'RBM34', 'SLX1B', 'SULT1A4', 'VRK2']",18
Fold 7,"['ACTR1A', 'ADGRG3', 'ALDOA', 'ARG2', 'ARL2BP', 'ATG9A', 'BCL2L2-PABPN1', 'EIF3CL', 'HNRNPA1P10', 'HRH2', 'LILRA5', 'LINC02067', 'MIA2', 'PCBP2-OT1', 'RBM34', 'SLX1B', 'SMPD5', 'SNORA31', 'SNX32', 'STAG3L1', 'SULT1A4', 'VRK2']",22
Fold 8,"['ADGRG3', 'BCL2L2-PABPN1', 'EGLN2', 'FAM118B', 'GTF2IP1', 'LILRA5', 'MED4-AS1', 'NSFP1', 'RBM34', 'SLX1B', 'SMN2', 'SNORA31', 'STAG3L1', 'SULT1A4', 'TMEM120A', 'TSPOAP1-AS1']",16
Fold 9,"['ACTR1A', 'ARL8A', 'ARRB2', 'ATP1A1-AS1', 'BCL2L2-PABPN1', 'COX20', 'CSF3R', 'FEM1A', 'FPR1', 'GTF2IP1', 'HIF1A-AS1', 'HMBOX1', 'LINC00674', 'LINC02067', 'LRRC75A', 'MIA2', 'NFE2', 'NOMO3', 'RBM34', 'SMN2', 'SMPD5', 'VRK2']",22
